Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,ALEXDPC
Отчёт,,,262,Генератор,AlexD
Отчёт,,,263,Операционная система,Microsoft Windows 7 Enterprise 6.1.7601.23915 (Win7 RTM)
Отчёт,,,264,Дата,2018-01-23
Отчёт,,,265,Время,16:33
Суммарная информация,,Компьютер,582,Тип компьютера,ACPI x64-based PC
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 7 Enterprise
Суммарная информация,,Компьютер,540,Пакет обновления ОС,Service Pack 1
Суммарная информация,,Компьютер,564,Internet Explorer,11.0.9600.18860
Суммарная информация,,Компьютер,566,DirectX,DirectX 11.1
Суммарная информация,,Компьютер,514,Имя компьютера,ALEXDPC
Суммарная информация,,Компьютер,515,Имя пользователя,AlexD
Суммарная информация,,Компьютер,516,Вход в домен,AlexDPC
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-23 / 16:33
Суммарная информация,,Системная плата,517,Тип ЦП,QuadCore Intel Core i5-2400S; 2600 MHz (26 x 100)
Суммарная информация,,Системная плата,518,Системная плата,Apple iMac (Mac-942B5BF58194151B)
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Cougar Point Z68; Intel Sandy Bridge
Суммарная информация,,Системная плата,520,Системная память,16359 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,Insyde (07/29/05)
Суммарная информация,,Отображение,523,Видеоадаптер,AMD Radeon HD 6750M  (512 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,AMD Radeon HD 6750M  (512 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,AMD Radeon HD 6750M  (512 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,AMD Radeon HD 6750M  (512 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,AMD Radeon HD 6750M  (512 МБ)
Суммарная информация,,Отображение,524,3D-акселератор,AMD Radeon HD 6750M (Whistler)
Суммарная информация,,Отображение,525,Монитор,Apple iMac12 21.5" LED LCD  [21.5" LCD]
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,ATI Radeon HDMI @ AMD Turks/Whistler/Thames - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Cirrus Logic CS4206 @ Intel Cougar Point PCH - High Definition Audio Controller [B-3]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Intel(R) 6 Series/C200 Series Chipset Family 4 port Serial ATA Storage Controller - 1C00
Суммарная информация,,Хранение данных,528,Дисковый накопитель,APPLE SD Card Reader USB Device
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON SHFS37A240G ATA Device  (240 ГБ; SATA-III)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,ST3500418AS ATA Device  (500 ГБ; 7200 RPM; SATA-II)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),114439 МБ (42809 МБ свободно)
Суммарная информация,,Разделы,530,D: (NTFS),238819 МБ (155496 МБ свободно)
Суммарная информация,,Разделы,530,E: (HFS),113675 МБ (75645 МБ свободно)
Суммарная информация,,Разделы,530,F: (HFS),237664 МБ (237366 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,688.1 ГБ (499.3 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.252
Суммарная информация,,Сеть,539,Первичный адрес MAC,3C-07-54-0C-4D-06
Суммарная информация,,Сеть,534,Сетевой адаптер,
Суммарная информация,,Сеть,534,Сетевой адаптер,Atheros AR938x Wireless Network Adapter
Суммарная информация,,Сеть,534,Сетевой адаптер,Broadcom NetXtreme Gigabit Ethernet  (192.168.137.252)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,536,Принтер,Отправить в OneNote 16
Суммарная информация,,Периферийные устройства,567,FireWire-контроллер,Agere FW643 PCI-E IEEE1394 FireWire Controller
Суммарная информация,,Периферийные устройства,568,Контроллер USB1,Intel Cougar Point PCH - USB Universal Host Controller [B-3]
Суммарная информация,,Периферийные устройства,568,Контроллер USB1,Intel Cougar Point PCH - USB Universal Host Controller [B-3]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Cougar Point PCH - USB EHCI #1 Controller [B-3]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Cougar Point PCH - USB EHCI #2 Controller [B-3]
Суммарная информация,,Периферийные устройства,537,USB-устройство,Apple Broadcom Built-in Bluetooth
Суммарная информация,,Периферийные устройства,537,USB-устройство,Apple IR Receiver
Суммарная информация,,Периферийные устройства,537,USB-устройство,FaceTime HD Camera (Built-in)
Суммарная информация,,Периферийные устройства,537,USB-устройство,FaceTime HD camera
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,DMI,548,DMI поставщик BIOS,Apple Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,IM121.88Z.004D.B00.1708080012
Суммарная информация,,DMI,550,DMI производитель системы,Apple Inc.
Суммарная информация,,DMI,551,DMI система,iMac12;1
Суммарная информация,,DMI,552,DMI системная версия,1.0
Суммарная информация,,DMI,553,DMI системный серийный номер,C02G68EZDHJF
Суммарная информация,,DMI,554,DMI системный UUID,B55CF0C1-17DF365E-B258B39B-8B8F363C
Суммарная информация,,DMI,555,DMI производитель системной платы,Apple Inc.
Суммарная информация,,DMI,556,DMI системная плата,Mac-942B5BF58194151B
Суммарная информация,,DMI,557,DMI версия системной платы,
Суммарная информация,,DMI,558,DMI серийный номер системной платы,C02131401GWDNJK1V
Суммарная информация,,DMI,559,DMI производитель шасси,Apple Inc.
Суммарная информация,,DMI,560,DMI версия шасси,Mac-942B5BF58194151B
Суммарная информация,,DMI,561,DMI серийный номер шасси,C02G68EZDHJF
Суммарная информация,,DMI,562,DMI Asset-тег шасси,
Суммарная информация,,DMI,563,DMI тип шасси,All in One
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,ALEXDPC
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,AlexDPC
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,AlexDPC
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,ALEXDPC
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,AlexDPC
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
