Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,CCSOFT-12
Отчёт,,,262,Генератор,CCsoft
Отчёт,,,263,Операционная система,Microsoft Windows 7 Professional 6.1.7601.17514 (Win7 RTM)
Отчёт,,,264,Дата,2018-01-24
Отчёт,,,265,Время,11:21
Суммарная информация,,Компьютер,582,Тип компьютера,ACPI x64-based PC  (Mobile)
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 7 Professional
Суммарная информация,,Компьютер,540,Пакет обновления ОС,Service Pack 1
Суммарная информация,,Компьютер,564,Internet Explorer,8.0.7601.17514 (IE 8.0 - Windows 7 SP1)
Суммарная информация,,Компьютер,566,DirectX,DirectX 11.0
Суммарная информация,,Компьютер,514,Имя компьютера,CCSOFT-12
Суммарная информация,,Компьютер,515,Имя пользователя,CCsoft
Суммарная информация,,Компьютер,516,Вход в домен,CCsoft-12
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-24 / 11:21
Суммарная информация,,Системная плата,517,Тип ЦП,Mobile DualCore Intel Core i5-5200U; 2200 MHz (22 x 100)
Суммарная информация,,Системная плата,518,Системная плата,HP 2248
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Wildcat Point-LP; Intel Broadwell
Суммарная информация,,Системная плата,520,Системная память,3891 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,Compaq (03/17/2015)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics 5500  (1 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics 5500  (1 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics 5500  (1 ГБ)
Суммарная информация,,Отображение,524,3D-акселератор,Intel HD Graphics 5500
Суммарная информация,,Отображение,525,Монитор,Универсальный монитор PnP [NoDB]
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Realtek ALC282 @ Intel Wildcat Point-LP PCH - High Definition Audio Controller [F-0]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный контроллер AHCI 1.0 Serial ATA
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,ST500LT012-1DG142 ATA Device  (500 ГБ; 5400 RPM; SATA-II)
Суммарная информация,,Хранение данных,529,Оптический накопитель,hp DVDRW  SU208GB ATA Device  (DVD+R9:6x; DVD-R9:6x; DVD+RW:8x/8x; DVD-RW:8x/6x; DVD-RAM:5x; DVD-ROM:8x; CD:24x/24x/24x DVD+RW/DVD-RW/DVD-RAM)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),99771 МБ (66122 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,97.4 ГБ (64.6 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Стандартная клавиатура PS/2
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Ввод,532,Мышь,PS/2-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.23
Суммарная информация,,Сеть,539,Первичный адрес MAC,D8-5D-E2-28-F9-03
Суммарная информация,,Сеть,534,Сетевой адаптер,
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek RTL8723BE 802.11 b/g/n Wi-Fi Adapter  (192.168.137.23)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Wildcat Point-LP PCH - USB 2.0 EHCI Host Controller [F-0]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,Intel Wildcat Point-LP PCH - USB 3.0 xHCI Host Controller [F-0]
Суммарная информация,,DMI,548,DMI поставщик BIOS,Hewlett-Packard
Суммарная информация,,DMI,549,DMI версия BIOS,M73 Ver. 01.11
Суммарная информация,,DMI,550,DMI производитель системы,Hewlett-Packard
Суммарная информация,,DMI,551,DMI система,HP ProBook 450 G2
Суммарная информация,,DMI,552,DMI системная версия,A3009DD10303
Суммарная информация,,DMI,553,DMI системный серийный номер,CND52141K5
Суммарная информация,,DMI,554,DMI системный UUID,FFEB1A7F-43F6E411-A1072058-300000FF
Суммарная информация,,DMI,555,DMI производитель системной платы,Hewlett-Packard
Суммарная информация,,DMI,556,DMI системная плата,2248
Суммарная информация,,DMI,557,DMI версия системной платы,KBC Version 59.22
Суммарная информация,,DMI,558,DMI серийный номер системной платы,PEUZUG51V8P2W8
Суммарная информация,,DMI,559,DMI производитель шасси,Hewlett-Packard
Суммарная информация,,DMI,560,DMI версия шасси,
Суммарная информация,,DMI,561,DMI серийный номер шасси,CND52141K5
Суммарная информация,,DMI,562,DMI Asset-тег шасси,
Суммарная информация,,DMI,563,DMI тип шасси,Notebook
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,CCSOFT-12
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,CCsoft-12
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,CCsoft-12
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,CCSOFT-12
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,CCsoft-12
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,CCsoft-12
DMI,BIOS,Свойства BIOS,2561,Производитель,Hewlett-Packard
DMI,BIOS,Свойства BIOS,2562,Версия,M73 Ver. 01.11
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,03/17/2015
DMI,BIOS,Свойства BIOS,2564,Размер,6 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,1.11
DMI,BIOS,Свойства BIOS,2602,Версия прошивки встроенного контроллера,89.34
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; Network Service Boot; EDD; BBS; Smart Battery
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; ACPI; UEFI
DMI,BIOS,Свойства BIOS,2568,Возможности расширения,PCI; PCMCIA; USB
DMI,BIOS,Свойства BIOS,2600,Виртуальная машина,No
DMI,Система,Свойства системы,2569,Производитель,Hewlett-Packard
DMI,Система,Свойства системы,2570,Продукт,HP ProBook 450 G2
DMI,Система,Свойства системы,2571,Версия,A3009DD10303
DMI,Система,Свойства системы,2572,Серийный номер,CND52141K5
DMI,Система,Свойства системы,2598,SKU#,K9L11EA#ACB
DMI,Система,Свойства системы,2599,Семейство,103C_5336AN G=N L=BUS B=HP S=PRO
DMI,Система,Свойства системы,2573,Универсальный уникальный ID,FFEB1A7F-43F6E411-A1072058-300000FF
DMI,Система,Свойства системы,2574,Тип пробуждения,Power Switch
DMI,Системная плата,Свойства системной платы,2575,Производитель,Hewlett-Packard
DMI,Системная плата,Свойства системной платы,2576,Продукт,2248
DMI,Системная плата,Свойства системной платы,2577,Версия,KBC Version 59.22
DMI,Системная плата,Свойства системной платы,2578,Серийный номер,PEUZUG51V8P2W8
DMI,Шасси,Свойства шасси,2579,Производитель,Hewlett-Packard
DMI,Шасси,Свойства шасси,2581,Серийный номер,CND52141K5
