Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,DESKTOP-H15K4K8
Отчёт,,,262,Генератор,Mr_xXx
Отчёт,,,263,Операционная система,Microsoft Windows 10 Pro 10.0.16299.192 (Win10 RS3)
Отчёт,,,264,Дата,2018-01-18
Отчёт,,,265,Время,16:05
Суммарная информация,,Компьютер,582,Тип компьютера,Компьютер с ACPI на базе x64
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 10 Pro
Суммарная информация,,Компьютер,540,Пакет обновления ОС,-
Суммарная информация,,Компьютер,564,Internet Explorer,11.192.16299.0
Суммарная информация,,Компьютер,590,Edge,41.16299.15.0
Суммарная информация,,Компьютер,566,DirectX,DirectX 12.0
Суммарная информация,,Компьютер,514,Имя компьютера,DESKTOP-H15K4K8
Суммарная информация,,Компьютер,515,Имя пользователя,Mr_xXx
Суммарная информация,,Компьютер,516,Вход в домен,DESKTOP-H15K4K8
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-18 / 16:05
Суммарная информация,,Системная плата,517,Тип ЦП,DualCore Intel Core i3-2100; 3100 MHz (31 x 100)
Суммарная информация,,Системная плата,518,Системная плата,Asus P8H61-M LX3 R2.0
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Cougar Point H61; Intel Sandy Bridge
Суммарная информация,,Системная плата,520,Системная память,16336 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (08/10/2012)
Суммарная информация,,Отображение,523,Видеоадаптер,GeForce GT 610  (2 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,GeForce GT 610  (2 ГБ)
Суммарная информация,,Отображение,524,3D-акселератор,nVIDIA GeForce GT 610
Суммарная информация,,Отображение,525,Монитор,AOC 2243W  [22" LCD]  (AAYB1O2000422)
Суммарная информация,,Отображение,525,Монитор,LG E2242 (Analog)  [22" LCD]  (206NDLS3P688)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GF119 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,VIA VT1708S @ Intel Cougar Point PCH - High Definition Audio Controller [B-3]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный двухканальный контроллер PCI IDE
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный двухканальный контроллер PCI IDE
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,DAEMON Tools Lite Virtual SCSI Bus
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,Контроллер дискового пространства (Майкрософт)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON SHSS37A240G ATA Device  (240 ГБ; SATA-III)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,ST500DM002-1BC142 ATA Device  (500 ГБ; 7200 RPM; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),228933 МБ (147690 МБ свободно)
Суммарная информация,,Разделы,530,D: (NTFS),353655 МБ (168533 МБ свободно)
Суммарная информация,,Разделы,530,E: (NTFS),123281 МБ (29055 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,689.3 ГБ (337.2 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.166
Суммарная информация,,Сеть,539,Первичный адрес MAC,50-46-5D-8D-05-AA
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller  (192.168.137.166)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft Print to PDF
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Cougar Point PCH - USB EHCI #1 Controller [B-3]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Cougar Point PCH - USB EHCI #2 Controller [B-3]
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,HID-compliand device
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,0608
Суммарная информация,,DMI,550,DMI производитель системы,System manufacturer
Суммарная информация,,DMI,551,DMI система,System Product Name
Суммарная информация,,DMI,552,DMI системная версия,System Version
Суммарная информация,,DMI,553,DMI системный серийный номер,System Serial Number
Суммарная информация,,DMI,554,DMI системный UUID,404FEE1D-DAD7DD11-A0FE5046-5D8D05AA
Суммарная информация,,DMI,555,DMI производитель системной платы,ASUSTeK COMPUTER INC.
Суммарная информация,,DMI,556,DMI системная плата,P8H61-M LX3 R2.0
Суммарная информация,,DMI,557,DMI версия системной платы,Rev X.0x
Суммарная информация,,DMI,558,DMI серийный номер системной платы,120902281718734
Суммарная информация,,DMI,559,DMI производитель шасси,Chassis Manufacture
Суммарная информация,,DMI,560,DMI версия шасси,Chassis Version
Суммарная информация,,DMI,561,DMI серийный номер шасси,Chassis Serial Number
Суммарная информация,,DMI,562,DMI Asset-тег шасси,Asset-1234567890
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,DESKTOP-H15K4K8
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,DESKTOP-H15K4K8
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,DESKTOP-H15K4K8
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,DESKTOP-H15K4K8
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,DESKTOP-H15K4K8
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,DESKTOP-H15K4K8
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,0608
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,08/10/2012
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; ACPI; UEFI
DMI,BIOS,Свойства BIOS,2568,Возможности расширения,PCI; USB
DMI,BIOS,Свойства BIOS,2600,Виртуальная машина,No
DMI,BIOS,Производитель BIOS,0,Фирма,American Megatrends Inc.
DMI,BIOS,Производитель BIOS,0,Информация о продукте,http://www.ami.com/amibios
DMI,BIOS,Производитель BIOS,0,Модернизации BIOS,http://www.aida64.com/bios-updates
DMI,Система,Свойства системы,2569,Производитель,System manufacturer
