Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,DESKTOP-VCVJBHI
Отчёт,,,262,Генератор,CCsoft
Отчёт,,,263,Операционная система,Microsoft Windows 10 Pro 10.0.15063.850 (Win10 RS2)
Отчёт,,,264,Дата,2018-01-17
Отчёт,,,265,Время,17:01
Суммарная информация,,Компьютер,582,Тип компьютера,Компьютер с ACPI на базе x64
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 10 Pro
Суммарная информация,,Компьютер,540,Пакет обновления ОС,-
Суммарная информация,,Компьютер,564,Internet Explorer,11.850.15063.0
Суммарная информация,,Компьютер,590,Edge,40.15063.674.0
Суммарная информация,,Компьютер,566,DirectX,DirectX 12.0
Суммарная информация,,Компьютер,514,Имя компьютера,DESKTOP-VCVJBHI
Суммарная информация,,Компьютер,515,Имя пользователя,CCsoft
Суммарная информация,,Компьютер,516,Вход в домен,DESKTOP-VCVJBHI
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-17 / 17:01
Суммарная информация,,Системная плата,517,Тип ЦП,DualCore Intel Core i3-3220; 3300 MHz (33 x 100)
Суммарная информация,,Системная плата,518,Системная плата,ASRock B75M-GL R2.0  (2 PCI; 2 PCI-E x16; 2 DDR3 DIMM; Audio; Video; Gigabit LAN)
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Panther Point B75; Intel Ivy Bridge
Суммарная информация,,Системная плата,520,Системная память,16332 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (08/22/2012)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Последовательный порт (COM1)
Суммарная информация,,Системная плата,522,Коммуникационный порт,ECP-порт принтера (LPT1)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GT 610  (2 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GT 610  (2 ГБ)
Суммарная информация,,Отображение,524,3D-акселератор,nVIDIA GeForce GT 610
Суммарная информация,,Отображение,525,Монитор,Philips 243V7  [24" LCD]  (UHB1725026860)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GF119 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Realtek ALC662 @ Intel Panther Point PCH - High Definition Audio Controller [C-1]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный контроллер SATA AHCI
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,DAEMON Tools Lite Virtual SCSI Bus
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,Контроллер дискового пространства (Майкрософт)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,Hitachi HDS721050CLA360  (465 ГБ)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON SHSS37A240G  (240 ГБ; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),228368 МБ (184393 МБ свободно)
Суммарная информация,,Разделы,530,D: (NTFS),99771 МБ (52815 МБ свободно)
Суммарная информация,,Разделы,530,E: (NTFS),376937 МБ (271146 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,688.6 ГБ (496.4 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-Compliant Mouse
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.42
Суммарная информация,,Сеть,539,Первичный адрес MAC,BC-5F-F4-71-36-CC
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller  (192.168.137.42)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft Print to PDF
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,536,Принтер,NPIA76AD0 (HP LaserJet MFP M130nw)
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Panther Point PCH - USB 2.0 EHCI Controller #1 [C-1]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Panther Point PCH - USB 2.0 EHCI Controller #2 [C-1]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,Intel Panther Point PCH - USB 3.0 xHCI Controller [C-1]
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Wacom Tablet
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,P1.00
Суммарная информация,,DMI,550,DMI производитель системы,To Be Filled By O.E.M.
Суммарная информация,,DMI,551,DMI система,To Be Filled By O.E.M.
Суммарная информация,,DMI,552,DMI системная версия,To Be Filled By O.E.M.
Суммарная информация,,DMI,553,DMI системный серийный номер,To Be Filled By O.E.M.
Суммарная информация,,DMI,554,DMI системный UUID,00020003-00040005-00060007-00080009
Суммарная информация,,DMI,555,DMI производитель системной платы,ASRock
Суммарная информация,,DMI,556,DMI системная плата,B75M-GL R2.0
Суммарная информация,,DMI,557,DMI версия системной платы,
Суммарная информация,,DMI,558,DMI серийный номер системной платы,M80-2A008301316
Суммарная информация,,DMI,559,DMI производитель шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,560,DMI версия шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,561,DMI серийный номер шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,562,DMI Asset-тег шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,DESKTOP-VCVJBHI
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,DESKTOP-VCVJBHI
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,DESKTOP-VCVJBHI
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,DESKTOP-VCVJBHI
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,DESKTOP-VCVJBHI
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,DESKTOP-VCVJBHI
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,P1.00
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,08/22/2012
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; ACPI; UEFI
