Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,MOTOROSHPC
Отчёт,,,262,Генератор,motorosh
Отчёт,,,263,Операционная система,Microsoft Windows 10 Pro 10.0.16299.192 (Win10 RS3)
Отчёт,,,264,Дата,2018-01-17
Отчёт,,,265,Время,16:52
Суммарная информация,,Компьютер,582,Тип компьютера,????????? ? ACPI ?? ???? x64
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 10 Pro
Суммарная информация,,Компьютер,540,Пакет обновления ОС,-
Суммарная информация,,Компьютер,564,Internet Explorer,11.192.16299.0
Суммарная информация,,Компьютер,590,Edge,41.16299.15.0
Суммарная информация,,Компьютер,566,DirectX,DirectX 12.0
Суммарная информация,,Компьютер,514,Имя компьютера,MOTOROSHPC
Суммарная информация,,Компьютер,515,Имя пользователя,motorosh
Суммарная информация,,Компьютер,516,Вход в домен,motoroshPC
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-17 / 16:52
Суммарная информация,,Системная плата,517,Тип ЦП,QuadCore Intel Core i5-4570; 3600 MHz (36 x 100)
Суммарная информация,,Системная плата,518,Системная плата,Asus H81M-Plus  (3 PCI-E x1; 1 PCI-E x16; 2 DDR3 DIMM; Audio; Video; Gigabit LAN)
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Lynx Point H81; Intel Haswell
Суммарная информация,,Системная плата,520,Системная память,16320 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (09/02/2013)
Суммарная информация,,Отображение,523,Видеоадаптер,GeForce GTX 760  (2 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,GeForce GTX 760  (2 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,GeForce GTX 760  (2 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,GeForce GTX 760  (2 ГБ)
Суммарная информация,,Отображение,524,3D-акселератор,nVIDIA GeForce GTX 760
Суммарная информация,,Отображение,525,Монитор,Dell UltraSharp U2311H (Analog)  [23" IPS LCD]  (HV8XP13C094L)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GK104 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Realtek ALC887 @ Intel Lynx Point PCH - High Definition Audio Controller [C-2]
Суммарная информация,,Хранение данных,580,IDE-контроллер,??????????? ?????????? SATA AHCI
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,?????????? ????????? ???????????? (??????????)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON SV300S37A120G  (120 ГБ; SATA-III)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,ST1000DM003-1CH162  (1 ТБ; 7200 RPM; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),101948 МБ (43039 МБ свободно)
Суммарная информация,,Разделы,530,E: (NTFS),101948 МБ (38842 МБ свободно)
Суммарная информация,,Разделы,530,F: (NTFS),851367 МБ (462941 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,1030.5 ГБ (532.1 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,?????????? HID
Суммарная информация,,Ввод,532,Мышь,HID-??????????? ????
Суммарная информация,,Ввод,532,Мышь,HID-Compliant Mouse
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.35
Суммарная информация,,Сеть,539,Первичный адрес MAC,D8-50-E6-BA-20-2F
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller  (192.168.137.35)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Foxit PhantomPDF Printer
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft Print to PDF
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,536,Принтер,Print to Evernote
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 1 [C-2]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 2 [C-2]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,ASMedia ASM1142 USB 3.0 xHCI Controller
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C-2]
Суммарная информация,,Периферийные устройства,537,USB-устройство,????????? USB ??????????
Суммарная информация,,Периферийные устройства,537,USB-устройство,???????????? ?????????? ??? USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,????????????? USB-????????????
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-?????????? ?????
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-?????????? ?????
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-?????????? ?????
Суммарная информация,,Периферийные устройства,537,USB-устройство,Wacom Tablet
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,0508
Суммарная информация,,DMI,550,DMI производитель системы,ASUS
Суммарная информация,,DMI,551,DMI система,All Series
Суммарная информация,,DMI,552,DMI системная версия,System Version
Суммарная информация,,DMI,553,DMI системный серийный номер,System Serial Number
Суммарная информация,,DMI,554,DMI системный UUID,6EF1AE66-EF3E95C8-F699D850-E6BA202F
Суммарная информация,,DMI,555,DMI производитель системной платы,ASUSTeK COMPUTER INC.
Суммарная информация,,DMI,556,DMI системная плата,H81M-PLUS
Суммарная информация,,DMI,557,DMI версия системной платы,Rev X.0x
Суммарная информация,,DMI,558,DMI серийный номер системной платы,130916518600247
Суммарная информация,,DMI,559,DMI производитель шасси,Chassis Manufacture
Суммарная информация,,DMI,560,DMI версия шасси,Chassis Version
Суммарная информация,,DMI,561,DMI серийный номер шасси,Chassis Serial Number
Суммарная информация,,DMI,562,DMI Asset-тег шасси,Asset-1234567890
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,MOTOROSHPC
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,motoroshPC
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,motoroshPC
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,MOTOROSHPC
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,motoroshPC
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,motoroshPC
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,0508
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,09/02/2013
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
