Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,DESKTOP-U6IJ2V4
Отчёт,,,262,Генератор,unauthorized
Отчёт,,,263,Операционная система,Microsoft Windows 10 Enterprise 10.0.16299.192 (Win10 RS3)
Отчёт,,,264,Дата,2018-01-17
Отчёт,,,265,Время,17:29
Суммарная информация,,Компьютер,582,Тип компьютера,Компьютер с ACPI на базе x64
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 10 Enterprise
Суммарная информация,,Компьютер,540,Пакет обновления ОС,-
Суммарная информация,,Компьютер,564,Internet Explorer,11.192.16299.0
Суммарная информация,,Компьютер,590,Edge,41.16299.15.0
Суммарная информация,,Компьютер,566,DirectX,DirectX 12.0
Суммарная информация,,Компьютер,514,Имя компьютера,DESKTOP-U6IJ2V4
Суммарная информация,,Компьютер,515,Имя пользователя,unauthorized
Суммарная информация,,Компьютер,516,Вход в домен,DESKTOP-U6IJ2V4
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-17 / 17:29
Суммарная информация,,Системная плата,517,Тип ЦП,DualCore Intel Pentium G3220; 3000 MHz (30 x 100)
Суммарная информация,,Системная плата,518,Системная плата,MSI H81M-P33 (MS-7817)  (1 PCI-E x1; 1 PCI-E x16; 2 DDR3 DIMM; Audio; Video; Gigabit LAN)
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Lynx Point H81; Intel Haswell
Суммарная информация,,Системная плата,520,Системная память,16262 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (02/20/2014)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Последовательный порт (COM1)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics  (1 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics  (1 ГБ)
Суммарная информация,,Отображение,525,Монитор,LG 23MP55 (Digital)  [23" LCD]  (401NDCR33611)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Realtek ALC887 @ Intel Lynx Point PCH - High Definition Audio Controller [C-2]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный контроллер SATA AHCI
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,DAEMON Tools Lite Virtual SCSI Bus
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,Контроллер дискового пространства (Майкрософт)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON SHSS37A240G  (240 ГБ; SATA-III)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,ST500DM002-1BD142  (500 ГБ; 7200 RPM; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),228256 МБ (178699 МБ свободно)
Суммарная информация,,Разделы,530,D: (NTFS),476936 МБ (377051 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,688.7 ГБ (542.7 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.25
Суммарная информация,,Сеть,539,Первичный адрес MAC,44-8A-5B-96-BF-1F
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller  (192.168.137.25)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft Print to PDF
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 1 [C-2]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 2 [C-2]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C-2]
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,V1.4
Суммарная информация,,DMI,550,DMI производитель системы,MSI
Суммарная информация,,DMI,551,DMI система,MS-7817
Суммарная информация,,DMI,552,DMI системная версия,1.0
Суммарная информация,,DMI,553,DMI системный серийный номер,To be filled by O.E.M.
Суммарная информация,,DMI,554,DMI системный UUID,00000000-00000000-0000448A-5B96BF1F
Суммарная информация,,DMI,555,DMI производитель системной платы,MSI
Суммарная информация,,DMI,556,DMI системная плата,H81M-P33 (MS-7817)
Суммарная информация,,DMI,557,DMI версия системной платы,1.0
Суммарная информация,,DMI,558,DMI серийный номер системной платы,To be filled by O.E.M.
Суммарная информация,,DMI,559,DMI производитель шасси,MSI
Суммарная информация,,DMI,560,DMI версия шасси,1.0
Суммарная информация,,DMI,561,DMI серийный номер шасси,To be filled by O.E.M.
Суммарная информация,,DMI,562,DMI Asset-тег шасси,To be filled by O.E.M.
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,DESKTOP-U6IJ2V4
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,DESKTOP-U6IJ2V4
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,DESKTOP-U6IJ2V4
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,DESKTOP-U6IJ2V4
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,DESKTOP-U6IJ2V4
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,DESKTOP-U6IJ2V4
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,V1.4
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,02/20/2014
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; ACPI; UEFI
DMI,BIOS,Свойства BIOS,2568,Возможности расширения,PCI; USB
DMI,BIOS,Свойства BIOS,2600,Виртуальная машина,No
DMI,BIOS,Производитель BIOS,0,Фирма,American Megatrends Inc.
DMI,BIOS,Производитель BIOS,0,Информация о продукте,http://www.ami.com/amibios
DMI,BIOS,Производитель BIOS,0,Модернизации BIOS,http://www.aida64.com/bios-updates
DMI,Система,Свойства системы,2569,Производитель,MSI
DMI,Система,Свойства системы,2570,Продукт,MS-7817
DMI,Система,Свойства системы,2571,Версия,1.0
DMI,Система,Свойства системы,2572,Серийный номер,To be filled by O.E.M.
