Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,CCSOFT-PC
Отчёт,,,262,Генератор,CCsoft
Отчёт,,,263,Операционная система,Microsoft Windows 7 Professional 6.1.7601.19135 (Win7 RTM)
Отчёт,,,264,Дата,2018-01-17
Отчёт,,,265,Время,17:33
Суммарная информация,,Компьютер,582,Тип компьютера,ACPI x64-based PC
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 7 Professional
Суммарная информация,,Компьютер,540,Пакет обновления ОС,Service Pack 1
Суммарная информация,,Компьютер,564,Internet Explorer,11.0.9600.17843 (IE 11.0.20)
Суммарная информация,,Компьютер,566,DirectX,DirectX 11.1
Суммарная информация,,Компьютер,514,Имя компьютера,CCSOFT-PC
Суммарная информация,,Компьютер,515,Имя пользователя,CCsoft
Суммарная информация,,Компьютер,516,Вход в домен,CCsoft-Pc
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-17 / 17:33
Суммарная информация,,Системная плата,517,Тип ЦП,DualCore AMD Athlon II X2 255; 3100 MHz (15.5 x 200)
Суммарная информация,,Системная плата,518,Системная плата,Asus M4N68T LE V2  (4 PCI; 2 PCI-E x1; 1 PCI-E x16; 4 DDR3 DIMM; Audio; Gigabit LAN)
Суммарная информация,,Системная плата,519,Чипсет системной платы,nVIDIA nForce 7025-630a; AMD K10
Суммарная информация,,Системная плата,520,Системная память,8192 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (07/30/10)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Последовательный порт (COM1)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Порт принтера (LPT1)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce 210  (512 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce 210  (512 МБ)
Суммарная информация,,Отображение,524,3D-акселератор,nVIDIA GeForce 210
Суммарная информация,,Отображение,525,Монитор,LG E2242 (Analog)  [22" LCD]  (205NDAY0R888)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GT218 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GT218 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GT218 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GT218 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,VIA VT1708S @ nVIDIA nForce 7025-630a (MCP68SE) - High Definition Audio Controller
Суммарная информация,,Хранение данных,580,IDE-контроллер,NVIDIA nForce Serial ATA Controller
Суммарная информация,,Хранение данных,580,IDE-контроллер,NVIDIA nForce Serial ATA Controller
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный двухканальный контроллер PCI IDE
Суммарная информация,,Хранение данных,528,Дисковый накопитель,TOSHIBA DT01ACA100 SCSI Disk Device  (1 ТБ; 7200 RPM; SATA-III)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,Generic STORAGE DEVICE USB Device
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON  SHFS37A120G SCSI Disk Device  (120 ГБ; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),114370 МБ (69859 МБ свободно)
Суммарная информация,,Разделы,530,D: (NTFS),953866 МБ (951348 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,1043.2 ГБ (997.3 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.65
Суммарная информация,,Сеть,539,Первичный адрес MAC,BC-AE-C5-AC-4B-29
Суммарная информация,,Сеть,534,Сетевой адаптер,NVIDIA nForce 10/100/1000 Mbps Ethernet  (192.168.137.65)
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,568,Контроллер USB1,nVIDIA nForce 7025-630a (MCP68SE) - OHCI USB 1.1 Controller
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,nVIDIA nForce 7025-630a (MCP68SE) - EHCI USB 2.0 Controller
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,0304
Суммарная информация,,DMI,550,DMI производитель системы,System manufacturer
Суммарная информация,,DMI,551,DMI система,System Product Name
Суммарная информация,,DMI,552,DMI системная версия,System Version
Суммарная информация,,DMI,553,DMI системный серийный номер,System Serial Number
Суммарная информация,,DMI,554,DMI системный UUID,406E9129-3DFFD511-A737BCAE-C5AC4B29
Суммарная информация,,DMI,555,DMI производитель системной платы,ASUSTeK Computer INC.
Суммарная информация,,DMI,556,DMI системная плата,M4N68T LE V2
Суммарная информация,,DMI,557,DMI версия системной платы,Rev X.0x
Суммарная информация,,DMI,558,DMI серийный номер системной платы,MT700C025214004
Суммарная информация,,DMI,559,DMI производитель шасси,Chassis Manufacture
Суммарная информация,,DMI,560,DMI версия шасси,Chassis Version
Суммарная информация,,DMI,561,DMI серийный номер шасси,Chassis Serial Number
Суммарная информация,,DMI,562,DMI Asset-тег шасси,Asset-1234567890
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Суммарная информация,,DMI,570,DMI всего / свободных сокетов памяти,4 / 0
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,CCSOFT-PC
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,CCsoft-Pc
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,CCsoft-Pc
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,CCSOFT-PC
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,CCsoft-Pc
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,CCsoft-Pc
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,0304
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,07/30/2010
DMI,BIOS,Свойства BIOS,2564,Размер,1 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,8.14
DMI,BIOS,Свойства BIOS,2565,Загрузочные устройства,Floppy Disk; Hard Disk; CD-ROM; ATAPI ZIP; LS-120
DMI,BIOS,Свойства BIOS,2566,Возможности,Flash BIOS; Shadow BIOS; Selectable Boot; EDD; BBS
DMI,BIOS,Свойства BIOS,2567,Поддерживаемые стандарты,DMI; APM; ACPI; ESCD; PnP
