Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,CCSOFT-ART
Отчёт,,,262,Генератор,CCsoft
Отчёт,,,263,Операционная система,Microsoft Windows 7 Ultimate 6.1.7601.17514 (Win7 RTM)
Отчёт,,,264,Дата,2018-01-17
Отчёт,,,265,Время,17:12
Суммарная информация,,Компьютер,582,Тип компьютера,ACPI x64-based PC
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 7 Ultimate
Суммарная информация,,Компьютер,540,Пакет обновления ОС,Service Pack 1
Суммарная информация,,Компьютер,564,Internet Explorer,8.0.7601.17514 (IE 8.0 - Windows 7 SP1)
Суммарная информация,,Компьютер,566,DirectX,DirectX 11.0
Суммарная информация,,Компьютер,514,Имя компьютера,CCSOFT-ART
Суммарная информация,,Компьютер,515,Имя пользователя,CCsoft
Суммарная информация,,Компьютер,516,Вход в домен,CCsoft-ART
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-17 / 17:12
Суммарная информация,,Системная плата,517,Тип ЦП,QuadCore Intel Core i5-4460; 3200 MHz (32 x 100)
Суммарная информация,,Системная плата,518,Системная плата,Gigabyte GA-H81M-HD3  (2 PCI; 1 PCI-E x1; 1 PCI-E x16; 2 DDR3 DIMM; Audio; Video; Gigabit LAN)
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Lynx Point H81; Intel Haswell
Суммарная информация,,Системная плата,520,Системная память,8076 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (07/09/2014)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Последовательный порт (COM1)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Порт принтера (LPT1)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics 4600  (2112 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics 4600  (2112 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,Intel(R) HD Graphics 4600  (2112 МБ)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GTX 650  (1 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GTX 650  (1 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GTX 650  (1 ГБ)
Суммарная информация,,Отображение,524,3D-акселератор,Intel HD Graphics 4600
Суммарная информация,,Отображение,524,3D-акселератор,nVIDIA GeForce GTX 650
Суммарная информация,,Отображение,525,Монитор,Dell UltraSharp U2412M (Digital)  [24" e-IPS LCD]  (0FFXD3B2058S)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Intel Lynx Point HDMI @ Intel Haswell - Mini HD Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GK107 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Realtek ALC892 @ Intel Lynx Point PCH - High Definition Audio Controller [C-2]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Intel(R) 8 Series/C220 Series SATA AHCI Controller - 8C02
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,TOSHIBA DT01ACA100 ATA Device  (1 ТБ; 7200 RPM; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),199770 МБ (122160 МБ свободно)
Суммарная информация,,Разделы,530,E: (NTFS),753868 МБ (650879 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,931.3 ГБ (754.9 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-Compliant Mouse
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.136
Суммарная информация,,Сеть,539,Первичный адрес MAC,FC-AA-14-64-72-EB
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller  (192.168.137.136)
Суммарная информация,,Сеть,534,Сетевой адаптер,TAP-Windows Adapter V9
Суммарная информация,,Периферийные устройства,536,Принтер,Adobe PDF
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 1 [C-2]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 2 [C-2]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C-2]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,VIA USB 3.0 eXtensible Host Controller
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Wacom Tablet
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,F6
Суммарная информация,,DMI,550,DMI производитель системы,Gigabyte Technology Co.; Ltd.
Суммарная информация,,DMI,551,DMI система,H81M-HD3
Суммарная информация,,DMI,552,DMI системная версия,To be filled by O.E.M.
Суммарная информация,,DMI,553,DMI системный серийный номер,To be filled by O.E.M.
Суммарная информация,,DMI,554,DMI системный UUID,FC02AA03-14046405-7206EB07-00080009
Суммарная информация,,DMI,555,DMI производитель системной платы,Gigabyte Technology Co.; Ltd.
Суммарная информация,,DMI,556,DMI системная плата,H81M-HD3
Суммарная информация,,DMI,557,DMI версия системной платы,x.x
Суммарная информация,,DMI,558,DMI серийный номер системной платы,To be filled by O.E.M.
Суммарная информация,,DMI,559,DMI производитель шасси,Gigabyte Technology Co.; Ltd.
Суммарная информация,,DMI,560,DMI версия шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,561,DMI серийный номер шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,562,DMI Asset-тег шасси,To Be Filled By O.E.M.
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,CCSOFT-ART
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,CCsoft-ART
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,CCsoft-ART
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,CCSOFT-ART
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,CCsoft-ART
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,CCsoft-ART
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,F6
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,07/09/2014
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
