Page,Device,Group,ItemID,Item,Value
Отчёт,,,257,Версия,AIDA64 v5.95.4500/ru
Отчёт,,,266,Тестовый модуль,4.3.770-x64
Отчёт,,,259,Домашняя страница,http://www.aida64.com/
Отчёт,,,260,Тип отчёта,Командная строка: /CUSTOM client.rpf
Отчёт,,,261,Компьютер,ARTDIZALINA
Отчёт,,,262,Генератор,DIZAlina
Отчёт,,,263,Операционная система,Microsoft Windows 7 Ultimate 6.1.7601.18247 (Win7 RTM)
Отчёт,,,264,Дата,2018-01-17
Отчёт,,,265,Время,17:08
Суммарная информация,,Компьютер,582,Тип компьютера,ACPI x64-based PC
Суммарная информация,,Компьютер,513,Операционная система,Microsoft Windows 7 Ultimate
Суммарная информация,,Компьютер,540,Пакет обновления ОС,Service Pack 1
Суммарная информация,,Компьютер,564,Internet Explorer,11.0.9600.16428 (IE 11.0)
Суммарная информация,,Компьютер,566,DirectX,DirectX 11.1
Суммарная информация,,Компьютер,514,Имя компьютера,ARTDIZALINA
Суммарная информация,,Компьютер,515,Имя пользователя,DIZAlina
Суммарная информация,,Компьютер,516,Вход в домен,ARTDIZAlina
Суммарная информация,,Компьютер,0,Дата / Время,2018-01-17 / 17:08
Суммарная информация,,Системная плата,517,Тип ЦП,DualCore Intel Pentium G3220; 3000 MHz (30 x 100)
Суммарная информация,,Системная плата,518,Системная плата,MSI H81M-P33 (MS-7817)  (1 PCI-E x1; 1 PCI-E x16; 2 DDR3 DIMM; Audio; Video; Gigabit LAN)
Суммарная информация,,Системная плата,519,Чипсет системной платы,Intel Lynx Point H81; Intel Haswell
Суммарная информация,,Системная плата,520,Системная память,16328 МБ  (DDR3 SDRAM)
Суммарная информация,,Системная плата,521,Тип BIOS,AMI (03/30/2015)
Суммарная информация,,Системная плата,522,Коммуникационный порт,Последовательный порт (COM1)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GTX 560 Ti  (1 ГБ)
Суммарная информация,,Отображение,523,Видеоадаптер,NVIDIA GeForce GTX 560 Ti  (1 ГБ)
Суммарная информация,,Отображение,524,3D-акселератор,nVIDIA GeForce GTX 560 Ti
Суммарная информация,,Отображение,525,Монитор,Dell UltraSharp U2312HM (Digital)  [23" LCD]  (KF87Y3B2BUVS)
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GF114 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GF114 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GF114 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,nVIDIA HDMI/DP @ nVIDIA GF114 - High Definition Audio Controller
Суммарная информация,,Мультимедиа,526,Звуковой адаптер,Realtek ALC887 @ Intel Lynx Point PCH - High Definition Audio Controller [C-2]
Суммарная информация,,Хранение данных,580,IDE-контроллер,Стандартный контроллер AHCI 1.0 Serial ATA
Суммарная информация,,Хранение данных,581,Контроллер хранения данных,DAEMON Tools Lite Virtual SCSI Bus
Суммарная информация,,Хранение данных,528,Дисковый накопитель,JetFlash Transcend 16GB USB Device  (14 ГБ; USB)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,KINGSTON SHSS37A240G ATA Device  (240 ГБ; SATA-III)
Суммарная информация,,Хранение данных,528,Дисковый накопитель,TOSHIBA DT01ACA100 ATA Device  (1 ТБ; 7200 RPM; SATA-III)
Суммарная информация,,Хранение данных,585,SMART-статус жёстких дисков,OK
Суммарная информация,,Разделы,530,C: (NTFS),228902 МБ (33328 МБ свободно)
Суммарная информация,,Разделы,530,D: (NTFS),99 МБ (84 МБ свободно)
Суммарная информация,,Разделы,530,E: (NTFS),953766 МБ (952456 МБ свободно)
Суммарная информация,,Разделы,586,Общий объём,1155.0 ГБ (962.8 ГБ свободно)
Суммарная информация,,Ввод,531,Клавиатура,Клавиатура HID
Суммарная информация,,Ввод,532,Мышь,HID-Compliant Mouse
Суммарная информация,,Ввод,532,Мышь,HID-совместимая мышь
Суммарная информация,,Сеть,538,Первичный адрес IP,192.168.137.213
Суммарная информация,,Сеть,539,Первичный адрес MAC,D8-CB-8A-7C-33-34
Суммарная информация,,Сеть,534,Сетевой адаптер,Realtek PCIe GBE Family Controller  (192.168.137.213)
Суммарная информация,,Периферийные устройства,536,Принтер,Adobe PDF
Суммарная информация,,Периферийные устройства,536,Принтер,Fax
Суммарная информация,,Периферийные устройства,536,Принтер,Microsoft XPS Document Writer
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 1 [C-2]
Суммарная информация,,Периферийные устройства,569,Контроллер USB2,Intel Lynx Point PCH - USB 2.0 EHCI Host Controller 2 [C-2]
Суммарная информация,,Периферийные устройства,588,Контроллер USB3,Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C-2]
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,Generic USB Hub
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,USB-устройство ввода
Суммарная информация,,Периферийные устройства,537,USB-устройство,Wacom Tablet
Суммарная информация,,Периферийные устройства,537,USB-устройство,Запоминающее устройство для USB
Суммарная информация,,Периферийные устройства,537,USB-устройство,Концентратор USB 2.0 MTT
Суммарная информация,,Периферийные устройства,537,USB-устройство,Составное USB устройство
Суммарная информация,,Периферийные устройства,584,Батарея,Составная батарея (Майкрософт)
Суммарная информация,,DMI,548,DMI поставщик BIOS,American Megatrends Inc.
Суммарная информация,,DMI,549,DMI версия BIOS,V1.9
Суммарная информация,,DMI,550,DMI производитель системы,MSI
Суммарная информация,,DMI,551,DMI система,MS-7817
Суммарная информация,,DMI,552,DMI системная версия,1.0
Суммарная информация,,DMI,553,DMI системный серийный номер,To be filled by O.E.M.
Суммарная информация,,DMI,554,DMI системный UUID,00000000-00000000-0000D8CB-8A7C3334
Суммарная информация,,DMI,555,DMI производитель системной платы,MSI
Суммарная информация,,DMI,556,DMI системная плата,H81M-P33 (MS-7817)
Суммарная информация,,DMI,557,DMI версия системной платы,1.0
Суммарная информация,,DMI,558,DMI серийный номер системной платы,To be filled by O.E.M.
Суммарная информация,,DMI,559,DMI производитель шасси,MSI
Суммарная информация,,DMI,560,DMI версия шасси,1.0
Суммарная информация,,DMI,561,DMI серийный номер шасси,To be filled by O.E.M.
Суммарная информация,,DMI,562,DMI Asset-тег шасси,To be filled by O.E.M.
Суммарная информация,,DMI,563,DMI тип шасси,Desktop Case
Имя компьютера,Комментарий о компьютере,,0,Класс,Логический
Имя компьютера,Комментарий о компьютере,,0,Имя компьютера,
Имя компьютера,Имя NetBIOS,,0,Класс,Логический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,ARTDIZALINA
Имя компьютера,Имя хоста DNS,,0,Класс,Логический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,ARTDIZAlina
Имя компьютера,Имя домена DNS,,0,Класс,Логический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Логический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,ARTDIZAlina
Имя компьютера,Имя NetBIOS,,0,Класс,Физический
Имя компьютера,Имя NetBIOS,,0,Имя компьютера,ARTDIZALINA
Имя компьютера,Имя хоста DNS,,0,Класс,Физический
Имя компьютера,Имя хоста DNS,,0,Имя компьютера,ARTDIZAlina
Имя компьютера,Имя домена DNS,,0,Класс,Физический
Имя компьютера,Имя домена DNS,,0,Имя компьютера,
Имя компьютера,Полное имя DNS,,0,Класс,Физический
Имя компьютера,Полное имя DNS,,0,Имя компьютера,ARTDIZAlina
DMI,BIOS,Свойства BIOS,2561,Производитель,American Megatrends Inc.
DMI,BIOS,Свойства BIOS,2562,Версия,V1.9
DMI,BIOS,Свойства BIOS,2563,Дата выпуска,03/30/2015
DMI,BIOS,Свойства BIOS,2564,Размер,8 МБ
DMI,BIOS,Свойства BIOS,2601,Версия BIOS системы,4.6
